Name,ID,Application_Num,Member_HICN,Plan,Effective_Date,Termination_Date
Patrick Medina,184,58319897,zdy37572,BP1,2020-08-25,2021-08-25
Heather Wood,088,26776924,gek14393,BP2,2020-10-16,2021-10-16
James Olson,181,2083985,JlD74413,BP1,2020-01-10,2021-01-09
Jenna Hunter,430,80656530,Qju98227,BP4,2021-09-15,2022-09-15
Michael Stein MD,851,26653280,fPN85757,BP2,2021-07-19,2022-07-19
Kathryn Butler,133,39898644,SDk03895,BP3,2020-12-24,2021-12-24
Kristin Davis,423,56325773,qsD21498,BP3,2021-11-02,2022-11-02
Gabriel Smith,006,90871666,PTt13108,BP1,2020-04-22,2021-04-22
Christina Wells,666,15200534,NHH44344,BP2,2020-12-21,2021-12-21
Eric Butler,313,84216932,cxq09947,BP1,2022-02-28,2023-02-28
Karen Moore,940,10292908,qDi93704,BP2,2021-02-09,2022-02-09
Juan Caldwell,338,75624915,USe96133,BP1,2020-10-12,2021-10-12
Shannon Stevens,583,3960185,eoC99790,BP3,2022-02-19,2023-02-19
Jennifer Young,144,89799104,qxk55181,BP4,2020-05-03,2021-05-03
Christopher Davis,163,76940032,ZEg92744,BP3,2022-01-28,2023-01-28
Alyssa Williams,903,8262603,zkS78211,BP1,2020-04-01,2021-04-01
Andrew Smith,794,84515271,iMG09764,BP4,2021-01-28,2022-01-28
Christine Smith,446,9376547,BEc64317,BP2,2020-10-25,2021-10-25
Emily Wade,094,51563931,loB10892,BP2,2020-04-05,2021-04-05
Angela Ortiz,580,77436764,lXg59553,BP1,2020-09-16,2021-09-16
Madison Short,221,62370064,fAv99707,BP4,2021-10-21,2022-10-21
Karen Hull,500,34085173,Qaf84152,BP2,2020-11-26,2021-11-26
Laura Lin,246,7312781,utS55033,BP2,2021-09-30,2022-09-30
Kenneth Estrada,207,60421337,GeN25552,BP2,2021-10-06,2022-10-06
Austin Rivera,099,74656774,zTU74443,BP2,2022-04-18,2023-04-18
Christopher Phillips,880,24851888,Yau63917,BP1,2021-08-26,2022-08-26
Christine Barton,457,75534980,GKk76182,BP1,2022-11-28,2023-11-28
Martin Bruce,287,99994288,Hzk46805,BP2,2020-10-08,2021-10-08
Mandy Gregory,229,61159910,mze79525,BP4,2021-01-28,2022-01-28
Deborah Hernandez,616,85099715,BZQ76825,BP1,2021-10-07,2022-10-07
Kayla Peck,210,21809065,pvc62095,BP4,2020-02-06,2021-02-05
David Mcfarland,710,40143504,NVC58021,BP3,2022-09-07,2023-09-07
Stacey Williams,856,65959588,Edj97852,BP3,2022-12-18,2023-12-18
Ashley Anderson,142,14649711,dPE71903,BP2,2020-06-25,2021-06-25
Cynthia Scott,480,42594069,KXw78326,BP4,2020-01-26,2021-01-25
Claire Collins,657,94819482,dgA54373,BP4,2020-02-27,2021-02-26
Joseph West,938,90828889,BVO83730,BP2,2021-06-24,2022-06-24
Rebecca Perry,417,86798951,oqe11359,BP1,2020-08-29,2021-08-29
Timothy Martinez,296,80520299,piK31733,BP1,2021-12-27,2022-12-27
Ricky Cummings,104,82203891,ZCj75920,BP2,2022-09-21,2023-09-21
Kimberly Harris,388,34869660,ZLG13741,BP2,2022-08-20,2023-08-20
Jessica Price,971,87830365,MgA96937,BP4,2020-12-23,2021-12-23
Christina Mayer,727,12657348,voU16252,BP3,2022-10-07,2023-10-07
James Scott,810,25474792,OoJ61939,BP4,2020-03-13,2021-03-13
Julie Adams,716,64682182,wMf60888,BP2,2020-11-24,2021-11-24
Kyle Peterson,929,11119763,oqU29312,BP1,2022-06-02,2023-06-02
Monica Hart,733,35758608,zaK16876,BP3,2020-04-03,2021-04-03
Judy Gray,861,76359300,JaD21714,BP3,2020-10-09,2021-10-09
Cassandra Adams,097,20238526,PBW73805,BP2,2021-10-06,2022-10-06
Heidi Martin,806,18055003,vUP08843,BP3,2022-05-29,2023-05-29
Christopher Schneider,462,2716128,bgV23598,BP2,2022-12-12,2023-12-12
Clinton French,287,14754971,WNQ03517,BP4,2021-04-01,2022-04-01
Willie Johnson,375,45081667,kch08564,BP4,2021-06-07,2022-06-07
Joshua Pittman,253,58678292,fKh31516,BP3,2021-11-04,2022-11-04
Sherri Reyes,630,97499517,DgD83418,BP1,2022-09-23,2023-09-23
Andrea White,906,45389107,VMS89812,BP4,2020-07-21,2021-07-21
Anthony Maldonado,826,41446816,nSA37193,BP3,2020-04-22,2021-04-22
Kelsey Horton,514,6934105,qiI68860,BP4,2020-08-29,2021-08-29
Angela Mcgee,216,15122674,AbM76168,BP2,2022-10-29,2023-10-29
Lindsay Thompson,518,26609075,Fdi89541,BP3,2021-08-23,2022-08-23
Rebekah Diaz,320,14492334,bst88866,BP1,2020-05-21,2021-05-21
John Duke,456,71160928,mcB04984,BP4,2022-07-19,2023-07-19
Lee Henry,872,39160124,MUg33863,BP1,2020-11-19,2021-11-19
Bryan Baker,421,23209984,Ayk78418,BP2,2021-06-21,2022-06-21
Anthony Boyle,576,77828618,tIz74597,BP2,2022-07-23,2023-07-23
Matthew Gonzalez,590,70927391,BNt91944,BP4,2020-09-04,2021-09-04
Vincent Gonzales,556,6569530,VbO00227,BP2,2021-09-10,2022-09-10
Linda Vargas,249,55106530,fZO30221,BP1,2022-07-04,2023-07-04
Anthony Page,828,97724190,EzU16942,BP2,2021-09-29,2022-09-29
Jamie Morton,688,12356178,nGd74938,BP3,2022-07-01,2023-07-01
Terri Brown,184,25113608,UbK63708,BP4,2021-07-13,2022-07-13
Jason Robinson,151,69685829,PBY36132,BP4,2022-01-29,2023-01-29
Sheryl Jefferson,511,97479137,mvP87511,BP4,2021-02-21,2022-02-21
Oscar Stuart,349,22528431,Keu04605,BP3,2021-04-22,2022-04-22
Diane Gutierrez,025,92297446,WUH64027,BP4,2020-07-28,2021-07-28
Alexa Wilson,753,26090279,ZEY52241,BP2,2020-12-17,2021-12-17
Evelyn Smith,241,63197995,TGw08077,BP1,2020-06-20,2021-06-20
Janice Kim,191,77228528,sBr36545,BP1,2021-05-02,2022-05-02
Laura Murray,359,91978370,pgG88977,BP2,2020-04-05,2021-04-05
Lynn Anderson,895,6585993,fHo89777,BP2,2022-11-29,2023-11-29
Jeffrey Taylor,479,82629164,WCu94814,BP2,2021-10-08,2022-10-08
Tyler Hardin,245,29663939,mfz51582,BP3,2022-09-09,2023-09-09
Margaret Smith,817,20178914,qiu56780,BP3,2021-03-17,2022-03-17
Jeremy Neal,734,24279141,lRm31235,BP2,2020-06-30,2021-06-30
Adam Vega,132,72468115,aFe12636,BP1,2021-01-21,2022-01-21
Ashley Paul,320,51601258,XcI73942,BP3,2022-09-05,2023-09-05
Katherine Brewer,902,46575378,LHe28892,BP2,2020-08-20,2021-08-20
Deborah Thompson,083,68139343,UlH86309,BP3,2021-12-24,2022-12-24
Jeffrey Sanders,282,29711578,ycW07047,BP3,2020-07-15,2021-07-15
Vincent Oconnell,781,24489263,vpu93998,BP3,2022-01-10,2023-01-10
Kelly Fernandez,238,21719391,RwF86159,BP1,2020-12-31,2021-12-31
Ana Nelson,206,32085831,Utv15946,BP4,2021-12-16,2022-12-16
Melvin Garrett,357,13182138,WTU04466,BP3,2021-09-27,2022-09-27
Joshua Brown,294,36379773,ZCj89908,BP3,2020-05-01,2021-05-01
Brenda Harmon,465,15837039,YUi79047,BP2,2021-11-13,2022-11-13
Daniel Brown,135,71699849,lUA88964,BP3,2022-05-03,2023-05-03
Lori Nelson,986,54096018,Mfi54956,BP1,2022-10-26,2023-10-26
Gerald Thomas,723,11705933,GEB91219,BP2,2022-11-01,2023-11-01
Xavier Simmons,587,12773879,whK66103,BP4,2021-04-20,2022-04-20
Darren Alvarez,637,47659110,KeP64083,BP4,2020-10-21,2021-10-21
Renee Ruiz,410,98248814,Abr39174,BP2,2022-05-28,2023-05-28
Tina Young,569,8554090,bXv99063,BP3,2022-11-28,2023-11-28
Kristopher Green,842,24068422,PGx80962,BP1,2021-11-10,2022-11-10
Megan Contreras,429,79902510,fFw85420,BP2,2022-10-17,2023-10-17
Steven Gonzalez,513,57389308,SSQ56086,BP1,2021-11-18,2022-11-18
Ryan Jackson,230,90058655,iNT30622,BP4,2022-10-25,2023-10-25
Sara Bailey,921,36689003,nuY39292,BP3,2021-04-01,2022-04-01
David Tran,314,57392502,Pci51127,BP1,2020-01-06,2021-01-05
Richard Bailey,864,80453322,nVT62777,BP2,2022-07-10,2023-07-10
Alexis Powell,489,15477277,nUv98712,BP4,2020-07-31,2021-07-31
Austin Johnson MD,162,27531592,FnI94248,BP3,2022-08-15,2023-08-15
Sarah Cantu,426,33411063,iKJ57679,BP4,2021-10-17,2022-10-17
Anthony Andrews,123,27324597,gxC66890,BP2,2021-10-04,2022-10-04
Carolyn Bryant,370,83767453,tfb19641,BP2,2021-08-15,2022-08-15
Adam Olson,947,43764223,Tit08503,BP2,2021-09-02,2022-09-02
Timothy Hill,145,38892660,aXz53164,BP4,2020-07-01,2021-07-01
Mitchell Graves,184,85870579,ACN27808,BP4,2020-03-14,2021-03-14
Monica Andrews,257,24793578,hsK83892,BP1,2022-07-28,2023-07-28
Alejandra Craig,366,29482759,zPP73418,BP3,2021-07-25,2022-07-25
Lori Patterson,425,21610540,KeZ46429,BP3,2020-06-17,2021-06-17
David Turner,065,5078045,tJz63017,BP1,2021-06-15,2022-06-15
Robert Pitts,783,37180720,xqo07815,BP1,2020-08-29,2021-08-29
Ann Sanchez,399,37471015,LRw68410,BP1,2022-05-21,2023-05-21
Luke Cowan,950,27169166,YeP33778,BP4,2021-06-05,2022-06-05
Lee Wilson,950,18806735,bvu21593,BP1,2020-05-24,2021-05-24
George Pierce,979,66539008,Osx65345,BP1,2022-09-19,2023-09-19
Kyle Johnson,464,18354509,ctm02168,BP1,2022-12-12,2023-12-12
Lisa Wheeler,887,46271815,Cfp39655,BP2,2020-10-17,2021-10-17
Mr. Seth Fleming,689,33253100,aNM10806,BP2,2020-04-09,2021-04-09
Brittany Morales,629,10321028,SUg71381,BP4,2021-06-17,2022-06-17
Cameron Lester,356,44378183,mIV96385,BP3,2022-08-01,2023-08-01
Carrie Berger,822,34098069,TKn52404,BP1,2021-01-04,2022-01-04
Caroline Lewis,289,69272082,wMl34862,BP1,2020-09-23,2021-09-23
David Burton,131,67523697,FdM33747,BP3,2021-08-03,2022-08-03
Melissa Daniels,570,56355746,JAX90824,BP3,2021-07-16,2022-07-16
Thomas Graves,184,89437570,Vic84649,BP3,2022-09-02,2023-09-02
Sean Houston,543,30368169,Ola02526,BP3,2021-02-09,2022-02-09
Mary Mercado,543,66545194,woH76932,BP3,2022-08-22,2023-08-22
Luis Johnson,957,44833061,TIi38853,BP1,2021-08-11,2022-08-11
Kristin Conrad,444,97301980,omt51444,BP2,2020-04-26,2021-04-26
Jacob Stewart,409,5612353,hIS79759,BP2,2022-07-27,2023-07-27
Kimberly Romero,527,28033011,Zvn90579,BP3,2022-11-30,2023-11-30
Heather Bullock,533,59840173,DSR55181,BP4,2021-11-20,2022-11-20
Zachary Thomas,046,64295406,UJB99160,BP1,2020-01-21,2021-01-20
Dorothy Lam,382,42708983,fBy78434,BP2,2021-06-08,2022-06-08
Kimberly Haynes,092,65530339,OrO51047,BP3,2020-03-30,2021-03-30
Pamela Norris,024,88242984,wsD74472,BP2,2020-03-10,2021-03-10
Ryan Powell,896,26284554,vjv27923,BP1,2020-10-22,2021-10-22
Donald West,140,63548932,Hdq40535,BP1,2021-12-04,2022-12-04
Emily Hays,841,12543477,fEn11772,BP1,2021-01-30,2022-01-30
Bethany Yoder,862,54362720,EgX38310,BP3,2022-08-09,2023-08-09
Evan Potter,685,9282864,mye50164,BP2,2021-03-04,2022-03-04
David Jones,226,58949280,muu92552,BP2,2022-09-05,2023-09-05
Autumn Ponce,049,15954519,oVh78166,BP2,2020-10-19,2021-10-19
Brooke Roach,912,74301065,IMi14486,BP3,2020-06-27,2021-06-27
Mathew Wilson,325,77598511,GLA43468,BP1,2021-03-13,2022-03-13
Cameron Acevedo,624,29555849,Lvr90800,BP1,2022-02-19,2023-02-19
Jeffrey Simmons,343,57133711,lop68071,BP1,2022-07-13,2023-07-13
Emily Stone,790,12557776,jXe70538,BP4,2020-01-04,2021-01-03
Todd Williams,165,76880990,zlG13241,BP4,2022-08-30,2023-08-30
April Pennington,465,99244332,Jef59631,BP1,2021-01-31,2022-01-31
Matthew Howard,012,33806834,bmK07448,BP3,2020-07-16,2021-07-16
Alicia Bailey,340,99677112,mrW29876,BP3,2021-05-05,2022-05-05
Eric Mclaughlin,943,93716004,OHo85306,BP3,2021-03-09,2022-03-09
Steven Byrd,111,77101280,HOp21193,BP4,2022-04-01,2023-04-01
John Bradley,258,22802620,uNJ34533,BP1,2021-11-16,2022-11-16
April Green,989,99792727,kQZ27237,BP3,2021-06-16,2022-06-16
Robert Morales,114,80748453,muC10951,BP2,2020-05-12,2021-05-12
Lydia Lambert,474,15600580,ydJ15090,BP1,2020-01-02,2021-01-01
John Turner,265,44307446,OGY26849,BP2,2021-09-20,2022-09-20
Jennifer Chavez,978,81291141,okZ38700,BP4,2020-04-19,2021-04-19
Julie Harris,576,66036027,PDN74338,BP4,2020-09-28,2021-09-28
Roger Stevens,927,67575674,Gbp23726,BP3,2021-04-18,2022-04-18
Rachael Payne,115,1211929,xjA73901,BP2,2021-02-23,2022-02-23
Kevin Romero,453,33980628,ioJ15751,BP1,2022-01-08,2023-01-08
Julie Shepard,456,67721604,Bjc68334,BP4,2020-01-04,2021-01-03
Sandra Collins,494,88139956,exU24895,BP1,2022-12-03,2023-12-03
Greg Pierce,410,26214086,goW56496,BP2,2021-02-01,2022-02-01
Samantha Hawkins,132,34220117,hGO98155,BP1,2020-05-24,2021-05-24
Michael Reed,717,87486075,gyr43887,BP2,2021-10-08,2022-10-08
Sarah Glenn,823,11266015,Ual30341,BP2,2022-04-20,2023-04-20
Robert Ross,597,83123592,sKb68710,BP2,2021-02-10,2022-02-10
David Fuller,854,78704925,Lcm65461,BP4,2020-05-03,2021-05-03
Maria Lane,632,98422494,mWs81954,BP1,2020-10-29,2021-10-29
Abigail Dickerson DVM,755,90319551,oAt22915,BP3,2022-07-17,2023-07-17
Alexander Lamb,957,39973623,fDm17463,BP3,2020-11-14,2021-11-14
Garrett Kemp,370,65753726,enN50998,BP3,2022-12-30,2023-12-30
Amy Henry,366,37520914,RyH02490,BP3,2021-09-30,2022-09-30
Melanie Vaughn,115,46072163,fDK22555,BP2,2022-08-23,2023-08-23
Karen Moore,962,87598167,LUC72499,BP3,2020-09-16,2021-09-16
Michael Schmidt,702,33561734,qpu94961,BP4,2021-03-11,2022-03-11
Evan Huang,981,95981522,sXA45940,BP3,2022-08-08,2023-08-08
Jeremy Ward,470,16970344,fEB98187,BP4,2021-08-29,2022-08-29
Sydney Hicks,879,12695869,dEx17899,BP1,2021-04-16,2022-04-16
Timothy Newman,208,21480167,PoP21921,BP2,2021-07-01,2022-07-01
Hunter Taylor,340,48884378,AHu66293,BP3,2021-07-05,2022-07-05
Kristin Castillo,490,86030644,BYN55039,BP4,2020-10-23,2021-10-23
Mary Lewis,840,35913192,RcX79338,BP2,2020-09-28,2021-09-28
Melissa Greer,635,85633673,fmk81338,BP2,2020-01-18,2021-01-17
Thomas Nelson,808,45639795,Qqo94421,BP1,2020-07-20,2021-07-20
Marilyn Browning,253,3107996,zAY10278,BP4,2022-03-28,2023-03-28
Rodney Miller,770,13237037,wpk21446,BP3,2021-05-14,2022-05-14
Morgan Walker,096,4913393,WMg95323,BP1,2021-01-12,2022-01-12
Zoe Alvarez,264,32851403,BsS19904,BP2,2022-11-18,2023-11-18
Jeffery Jones,687,96035279,BFD08416,BP2,2021-12-04,2022-12-04
William Irwin,880,42802531,CIN74438,BP1,2021-01-03,2022-01-03
Mrs. Stephanie Jordan,017,88822205,HsV37807,BP2,2021-05-15,2022-05-15
Shirley Kirby,520,5462808,xPj03559,BP4,2022-11-10,2023-11-10
Samantha Manning,775,29980934,QeA72576,BP2,2020-06-07,2021-06-07
Jeremy Vega,332,72092191,eBY26023,BP4,2020-09-19,2021-09-19
Jacob Hoffman,868,81207891,WqU48929,BP4,2020-11-30,2021-11-30
Roberto Martin,094,80946927,gWD48788,BP3,2020-03-16,2021-03-16
David Jenkins,298,17037015,vLQ66120,BP2,2021-04-06,2022-04-06
Kim Miller,661,309521,Nrk79281,BP4,2022-07-24,2023-07-24
Emily Hicks,472,67326275,wle13380,BP3,2022-10-13,2023-10-13
Andrew Donovan,355,41124787,rbc57366,BP1,2021-07-14,2022-07-14
Jon Newman,000,4354762,ceO39185,BP4,2021-11-17,2022-11-17
Rhonda Ayers,469,96323352,ida66196,BP3,2021-01-27,2022-01-27
Allison Meyer,092,79089221,uZX47392,BP4,2020-10-11,2021-10-11
Rebecca Vargas,139,47752412,UDB98936,BP1,2020-03-16,2021-03-16
Karen Holland,330,89387840,YCV69753,BP4,2021-05-18,2022-05-18
Mrs. Sarah Hoover,225,49498253,pKH17865,BP4,2020-02-23,2021-02-22
Erika Barajas,328,89130334,TYa14295,BP3,2021-07-03,2022-07-03
Meghan Friedman,564,91896573,Kpj78773,BP1,2020-10-28,2021-10-28
Scott Nelson,508,49397798,tnt42325,BP4,2022-04-03,2023-04-03
Mr. Barry Joseph MD,875,93443101,Kbf12527,BP4,2020-04-30,2021-04-30
Mrs. Christina Edwards,633,31790512,CBM53275,BP3,2020-10-28,2021-10-28
Darrell Thomas,847,51844170,Uly23302,BP1,2020-06-07,2021-06-07
Anne Manning,926,58957406,xRa67837,BP1,2021-05-12,2022-05-12
Derrick Gaines,861,85254303,iRD78020,BP3,2021-05-03,2022-05-03
Adam Young,102,25270447,Kfp45556,BP4,2020-08-12,2021-08-12
Tara Barrett,124,12550630,xEv16238,BP2,2021-02-14,2022-02-14
Jeff Thompson,377,70254402,Sfl49416,BP3,2021-01-04,2022-01-04
Nicole Vasquez,334,66456385,XSl13212,BP1,2021-11-07,2022-11-07
Megan Howell,999,98208437,cvK25708,BP3,2021-12-23,2022-12-23
Jillian Gross,538,49143799,EWT39228,BP2,2022-09-05,2023-09-05
Kenneth Ashley,477,11776607,SuY39839,BP1,2022-01-14,2023-01-14
Justin Hanson,257,87045506,deW53904,BP3,2020-06-06,2021-06-06
Rebecca Hardy,629,18151559,vzG16392,BP2,2020-06-06,2021-06-06
Sharon Barton,678,6329616,Uoo30776,BP2,2021-02-21,2022-02-21
Sara Wilson,722,95784010,Bhx93959,BP4,2020-11-16,2021-11-16
Cheryl Singh,040,33253192,Xsp26132,BP1,2022-07-11,2023-07-11
Luis Harrington,302,55708021,gwe13675,BP4,2022-03-05,2023-03-05
Heidi Hawkins,019,78822021,cfT03106,BP4,2020-12-24,2021-12-24
Gerald Henderson,231,21780969,SBQ98925,BP3,2021-11-17,2022-11-17
Christopher Williams,032,26268513,gAU63931,BP3,2021-01-26,2022-01-26
Amy Schmidt,277,16878736,qxY11616,BP4,2021-06-27,2022-06-27
Dorothy Freeman,185,52275038,OMH15222,BP2,2022-04-22,2023-04-22
Emily Roberts,884,75964249,aEC87691,BP2,2022-04-23,2023-04-23
Michael Chapman,939,3582875,HAE72411,BP2,2022-09-05,2023-09-05
Victoria George,807,20500726,hZm80618,BP3,2020-12-28,2021-12-28
Lindsay Osborn,541,58666502,Hlk40247,BP3,2020-07-15,2021-07-15
Ashley Mason,269,55181070,AFm66215,BP1,2020-01-16,2021-01-15
Taylor Taylor,908,34756613,bjy31489,BP1,2022-11-22,2023-11-22
Henry Wood,800,7251908,Oyi16683,BP4,2021-01-23,2022-01-23
Robert Hernandez,781,9610601,TEd07657,BP1,2022-12-18,2023-12-18
Jordan Smith,510,13164482,kKP05796,BP4,2020-05-01,2021-05-01
Jose Hall,090,2635657,lLw27033,BP1,2022-03-29,2023-03-29
Daniel Wright,044,99434255,JQD92233,BP2,2020-05-02,2021-05-02
Dawn Jones,569,92162905,AOd34789,BP1,2022-06-02,2023-06-02
Jennifer Williams,285,39726489,IVd51162,BP2,2022-07-13,2023-07-13
James Williams,341,56532488,SMR68194,BP2,2021-08-30,2022-08-30
Lisa Patterson,616,40752575,HRf13896,BP3,2022-10-31,2023-10-31
Julia Macdonald,570,64785363,rVb65399,BP1,2020-09-15,2021-09-15
Jason Butler,124,16794277,ipX81636,BP1,2022-06-25,2023-06-25
Andrea Barnes,762,33730858,gUp63479,BP4,2022-11-24,2023-11-24
Ashley Morgan,506,60656639,aEQ63139,BP3,2020-08-25,2021-08-25
Jessica Moody,983,95239431,FBE39114,BP1,2021-10-08,2022-10-08
Kimberly Johnson,927,14753790,XYg40514,BP1,2021-11-22,2022-11-22
Jesse Hill,159,80035768,LOT29443,BP1,2022-09-10,2023-09-10
Jesse Harrington,874,60776869,JED80713,BP1,2020-07-29,2021-07-29
Andrew Grant,228,25817477,bCM11987,BP1,2020-10-12,2021-10-12
Tiffany Martinez,186,13752408,kpz62866,BP4,2021-01-10,2022-01-10
Robert Patel,876,56422110,kcK52839,BP4,2020-09-30,2021-09-30
Sherri Gross,447,9099881,OQU52279,BP4,2020-04-23,2021-04-23
Jonathan Davis,565,30817003,ayd57061,BP4,2021-05-26,2022-05-26
Tyler Robinson,026,98142285,Hct27476,BP2,2022-07-06,2023-07-06
Robert Barnes,940,21952259,PrS39251,BP1,2022-08-30,2023-08-30
Jake Reeves,399,98857470,Hda93451,BP4,2022-12-08,2023-12-08
Steven Mckinney,051,368342,NjE49001,BP3,2022-04-25,2023-04-25
Jennifer Medina,711,4258237,IqU34075,BP1,2020-09-26,2021-09-26
Colin Brown,925,52252959,mIh00854,BP4,2021-11-17,2022-11-17
Susan Curry,172,54158468,zhu92685,BP3,2022-01-18,2023-01-18
Holly Flores,120,62307635,SHM23512,BP4,2022-02-28,2023-02-28
Robert Carter,078,87901006,EfW06717,BP2,2020-08-01,2021-08-01
Heather Kelly,191,24680383,KcK15379,BP1,2021-11-15,2022-11-15
Sabrina Valdez,667,11716185,KBe71720,BP1,2020-12-06,2021-12-06
Edward Hunter,878,87094682,UlX88145,BP1,2020-11-22,2021-11-22
Jennifer Baker,150,57633365,frE99585,BP2,2022-01-21,2023-01-21
Paul Hansen,444,29868338,YwH25369,BP4,2021-04-08,2022-04-08
Manuel Stephens,473,26040664,gNV23870,BP1,2021-09-08,2022-09-08
Kristin Jones,064,30096674,fil20502,BP4,2021-05-22,2022-05-22
